id,q,a,b,c,d,ans,exp,year,course_code,topic,img
1,"Calculate the determinant of matrix A = [[2,3],[1,4]]","5","8","11","2",A,"(2*4) - (3*1) = 8-3 = 5",2024,MTH101,Matrices,
2,"Identify the primary site of gas exchange in the lungs.","Bronchi","Alveoli","Trachea","Pleura",B,"The alveoli are the microscopic air sacs where oxygen exchange occurs.",2023,BIO102,Respiratory System,https://raw.githubusercontent.com/Imoter2233/synapse_asset/main/Image2_mammaryglands.png
3,"Which of the following is a scalar quantity?","Velocity","Force","Displacement","Speed",D,"Speed has magnitude but no direction, making it scalar.",2022,PHY101,Kinematics,
4,"What is the derivative of sin(x)?","cos(x)","-cos(x)","tan(x)","sec(x)",A,"The derivative of sin(x) is cos(x).",2024,MTH101,Calculus,
5,"Which bond involves the sharing of electrons?","Ionic","Covalent","Hydrogen","Metallic",B,"Covalent bonds are formed by the sharing of electron pairs.",2023,CHM101,Bonding,
6,"What is the powerhouse of the cell?","Nucleus","Ribosome","Mitochondria","Golgi Body",C,"Mitochondria generate most of the chemical energy needed to power the cell.",2021,BIO101,Cell Biology,
7,"Solve for x: 2x + 5 = 15","2","5","10","7.5",B,"2x = 10 -> x = 5",2020,MTH101,Algebra,
8,"The SI unit of Force is:","Joule","Watt","Newton","Pascal",C,"The Newton (N) is the SI unit of force.",2022,PHY101,Dynamics,
9,"Which gas is most abundant in Earth's atmosphere?","Oxygen","Carbon Dioxide","Nitrogen","Argon",C,"Nitrogen makes up about 78% of the atmosphere.",2023,CHM101,Environmental Chem,
10,"What is the pH of a neutral solution at 25Â°C?","0","7","14","1",B,"pH 7 is neutral.",2021,CHM101,Acids and Bases,
11,"Evaluate integral of 2x dx","x^2 + C","2x^2 + C","x + C","2x + C",A,"Integration of x^n is x^(n+1)/(n+1).",2024,MTH101,Calculus,
12,"Which part of the brain controls balance?","Cerebrum","Cerebellum","Medulla","Pons",B,"The Cerebellum is responsible for voluntary movements and balance.",2023,BIO102,Nervous System,
13,"Ohm's Law is represented as:","V = IR","I = VR","R = VI","P = VI",A,"V = IR is the fundamental relationship.",2022,PHY102,Electricity,
14,"Oxidation is the:","Gain of electrons","Loss of electrons","Gain of protons","Loss of neutrons",B,"Oxidation is Loss, Reduction is Gain (OIL RIG).",2023,CHM101,Redox,
15,"The value of Pi is approximately:","3.142","3.412","2.143","3.124",A,"3.14159...",2020,MTH101,General Math,
16,"Kinetic Energy is calculated as:","mv","1/2 mv^2","mgh","ma",B,"KE = 0.5 * mass * velocity squared.",2022,PHY101,Energy,
17,"Which blood group is the universal donor?","A","B","AB","O",D,"Group O negative is the universal donor.",2021,BIO102,Circulatory System,
18,"Isotopes have the same number of:","Neutrons","Protons","Electrons","Nucleons",B,"Isotopes have same protons but different neutrons.",2023,CHM101,Atomic Structure,
19,"The slope of a horizontal line is:","1","Undefined","0","-1",C,"Horizontal lines have no rise, so slope is 0.",2024,MTH101,Coordinate Geometry,
20,"Light travels fastest in:","Water","Glass","Vacuum","Diamond",C,"Light speed is maximal in a vacuum (c).",2022,PHY102,Optics,
21,"Which vitamin is produced by sunlight?","A","B","C","D",D,"Vitamin D is synthesized in skin exposed to sunlight.",2023,BIO101,Nutrition,
22,"First law of Thermodynamics is conservation of:","Entropy","Energy","Momentum","Mass",B,"Energy cannot be created or destroyed.",2022,PHY101,Thermodynamics,
23,"Avogadro's number is:","6.02 x 10^23","6.02 x 10^-23","9.81","3.00 x 10^8",A,"Number of particles in one mole.",2023,CHM101,Stoichiometry,
24,"The square root of -1 is:","1","-1","i","Undefined",C,"i is the imaginary unit.",2024,MTH101,Complex Numbers,
25,"Photosynthesis occurs in:","Mitochondria","Ribosomes","Chloroplasts","Nucleus",C,"Chloroplasts contain chlorophyll for photosynthesis.",2021,BIO101,Plant Biology,
26,"Acceleration due to gravity on Earth is approx:","100 m/s^2","9.8 m/s^2","1.6 m/s^2","0 m/s^2",B,"Standard gravity is 9.80665 m/s^2.",2022,PHY101,Gravitation,
27,"Benzene has how many carbon atoms?","4","5","6","8",C,"Benzene is C6H6.",2023,CHM102,Organic Chem,
28,"Log base 10 of 100 is:","1","2","10","0",B,"10^2 = 100.",2024,MTH101,Logarithms,
29,"Which organism causes Malaria?","Virus","Bacteria","Plasmodium","Fungus",C,"Plasmodium is a protozoan parasite.",2023,BIO102,Disease,
30,"Momentum is product of:","Mass and Acceleration","Mass and Velocity","Force and Time","Force and Distance",B,"p = mv",2022,PHY101,Mechanics,